symbol	location	cluster	Degree
NT5C3A	PROTEIN	1	1888
NT5E	PROTEIN	1	1905
NTF3	PROTEIN	1	1958
NTRK2	PROTEIN	1	1859
NTRK3	PROTEIN	1	1821
NTproBNP	PROTEIN	1	1892
NUB1	PROTEIN	1	1893
NUCB2	PROTEIN	1	1990
NUDC	PROTEIN	1	1982
NUDT5	PROTEIN	1	1866
OBP2B	PROTEIN	1	1921
OGFR	PROTEIN	1	1934
OGN	PROTEIN	0	1899
OLR1	PROTEIN	1	1838
OMD	PROTEIN	1	1822
OMG	PROTEIN	1	1824
OPTC	PROTEIN	1	1865
OSCAR	PROTEIN	1	1886
OSM	PROTEIN	1	1718
OSMR	PROTEIN	1	1852
OXT	PROTEIN	1	1939
P4HB	PROTEIN	1	1954
PAEP	PROTEIN	1	1806
PAG1	PROTEIN	1	1914
PAM	PROTEIN	1	1930
PAMR1	PROTEIN	1	1951
PARK7	PROTEIN	1	1804
PARP1	PROTEIN	1	1803
PCDH1	PROTEIN	1	2029
PCDH17	PROTEIN	1	1951
PCOLCE	PROTEIN	1	2009
PCSK9	PROTEIN	1	1920
PDCD1	PROTEIN	1	1871
PDCD1LG2	PROTEIN	1	1897
PDCD5	PROTEIN	1	1807
PDGFA	PROTEIN	1	1812
PDGFB	PROTEIN	1	1837
PDGFRA	PROTEIN	1	1890
PDGFRB	PROTEIN	1	1863
PDLIM7	PROTEIN	1	1978
PEAR1	PROTEIN	1	1875
PEBP1	PROTEIN	1	1822
PECAM1	PROTEIN	1	1918
PFKFB2	PROTEIN	1	1849
PGF	PROTEIN	1	1975
PGLYRP1	PROTEIN	1	1880
PHOSPHO1	PROTEIN	1	1909
PI3	PROTEIN	1	1886
PIGR	PROTEIN	0	1913
PIK3AP1	PROTEIN	1	1753
PIK3IP1	PROTEIN	1	1922
PILRA	PROTEIN	1	1902
PILRB	PROTEIN	1	1922
PKLR	PROTEIN	1	1693
PLA2G10	PROTEIN	1	1921
PLA2G15	PROTEIN	1	1869
PLA2G1B	PROTEIN	1	1883
PLA2G2A	PROTEIN	1	1890
PLA2G4A	PROTEIN	1	1948
PLA2G7	PROTEIN	1	1898
PLAT	PROTEIN	1	1900
PLAU	PROTEIN	1	1877
PLAUR	PROTEIN	1	1910
PLIN1	PROTEIN	1	1837
PLIN3	PROTEIN	1	1945
PLPBP	PROTEIN	1	1887
PLTP	PROTEIN	1	1836
PLXDC1	PROTEIN	1	1822
PLXNA4	PROTEIN	1	1981
PLXNB2	PROTEIN	1	1877
PLXNB3	PROTEIN	1	1930
PMVK	PROTEIN	1	1947
PODXL	PROTEIN	1	1877
PODXL2	PROTEIN	1	1848
POLR2F	PROTEIN	1	1956
PON3	PROTEIN	1	1852
PPCDC	PROTEIN	1	1867
PPIB	PROTEIN	1	1929
PPME1	PROTEIN	1	1792
PPP1R12A	PROTEIN	1	1944
PPP1R2	PROTEIN	1	1976
PPP1R9B	PROTEIN	1	1993
PPP3R1	PROTEIN	1	1881
PPY	PROTEIN	1	1925
PRCP	PROTEIN	1	1814
PRDX1	PROTEIN	1	1944
PRDX5	PROTEIN	1	1930
PRDX6	PROTEIN	0	1743
PRELP	PROTEIN	1	1910
PRKAR1A	PROTEIN	1	2017
PROC	PROTEIN	1	1964
PROK1	PROTEIN	1	1878
PRSS2	PROTEIN	1	1910
PRSS27	PROTEIN	1	1890
PRSS8	PROTEIN	1	1902
PRTG	PROTEIN	1	1880
PRTN3	PROTEIN	1	1902
PSG1	PROTEIN	1	1896
PSIP1	PROTEIN	1	1868
PSMD9	PROTEIN	1	1765
PSME1	PROTEIN	1	1742
PSME2	PROTEIN	1	1741
PSMG3	PROTEIN	1	1731
PSPN	PROTEIN	1	1830
PTGDS	PROTEIN	1	1947
PTH1R	PROTEIN	1	1858
PTN	PROTEIN	1	1896
PTPN1	PROTEIN	1	1976
PTPN6	PROTEIN	1	1930
PTPRF	PROTEIN	1	1877
PTPRM	PROTEIN	1	1911
PTPRN2	PROTEIN	1	1974
PTPRS	PROTEIN	1	1898
PTS	PROTEIN	1	1741
PTX3	PROTEIN	1	1825
PVALB	PROTEIN	1	1948
PVR	PROTEIN	1	1866
PXN	PROTEIN	1	1856
QDPR	PROTEIN	1	1822
QPCT	PROTEIN	1	1917
RAB6A	PROTEIN	1	1809
RARRES2	PROTEIN	1	1997
RBKS	PROTEIN	1	1754
RBP2	PROTEIN	1	1938
RBP5	PROTEIN	1	1897
REG1A	PROTEIN	1	2002
REG1B	PROTEIN	1	1983
REG3A	PROTEIN	1	1916
REG4	PROTEIN	1	1963
RELT	PROTEIN	1	1939
REN	PROTEIN	1	1818
RET	PROTEIN	1	1884
RETN	PROTEIN	1	1890
RGMA	PROTEIN	1	1875
RGMB	PROTEIN	1	1941
RHOC	PROTEIN	1	1964
RILP	PROTEIN	1	1833
RNASET2	PROTEIN	1	1933
RNF41	PROTEIN	1	1909
ROBO1	PROTEIN	1	1894
RP2	PROTEIN	1	1908
RRM2	PROTEIN	1	1902
RSPO1	PROTEIN	1	1926
RSPO3	PROTEIN	1	1945
RTBDN	PROTEIN	1	1986
RTN4R	PROTEIN	1	1949
RWDD1	PROTEIN	1	1863
S100A12	PROTEIN	1	1912
S100P	PROTEIN	1	1864
SAMD9L	PROTEIN	1	1957
SCAMP3	PROTEIN	1	1972
SCARA5	PROTEIN	1	1941
SCARB2	PROTEIN	1	1954
SCARF1	PROTEIN	1	1924
SCARF2	PROTEIN	1	1900
SCG2	PROTEIN	1	2009
SCG3	PROTEIN	1	1908
SCGB1A1	PROTEIN	1	1884
SCGB3A2	PROTEIN	1	1913
SCLY	PROTEIN	1	1874
SDC1	PROTEIN	1	1964
SELE	PROTEIN	1	1856
SELP	PROTEIN	1	1932
SELPLG	PROTEIN	1	1859
SEMA3F	PROTEIN	1	1956
SEMA4C	PROTEIN	1	1925
SEMA4D	PROTEIN	1	1857
SEMA7A	PROTEIN	1	1825
SERPINA11	PROTEIN	1	1936
SERPINA9	PROTEIN	1	1934
SERPINB1	PROTEIN	1	1962
SERPINB6	PROTEIN	1	1947
SERPINB8	PROTEIN	1	1919
SERPINB9	PROTEIN	1	1936
SERPINE1	PROTEIN	1	1831
SETMAR	PROTEIN	1	1875
SEZ6L	PROTEIN	1	1904
SEZ6L2	PROTEIN	1	1939
SF3B4	PROTEIN	1	1942
SFRP1	PROTEIN	1	1889
SH2D1A	PROTEIN	1	1911
SHMT1	PROTEIN	1	1854
SIGLEC1	PROTEIN	1	1886
SIGLEC10	PROTEIN	1	1922
SIGLEC5	PROTEIN	1	1922
SIGLEC6	PROTEIN	0	1847
SIGLEC7	PROTEIN	1	1857
SIGLEC9	PROTEIN	1	1828
SIRPA	PROTEIN	1	1820
SIRPB1	PROTEIN	1	1912
SIRT2	PROTEIN	1	1866
SIT1	PROTEIN	1	1912
SKAP1	PROTEIN	1	1900
SKAP2	PROTEIN	1	1969
SLAMF7	PROTEIN	1	1798
SLAMF8	PROTEIN	1	1926
SLC39A14	PROTEIN	1	1940
SLITRK2	PROTEIN	1	1919
SLITRK6	PROTEIN	1	1974
SMAD5	PROTEIN	1	1955
SMOC1	PROTEIN	1	1993
SMOC2	PROTEIN	1	1879
SMPD1	PROTEIN	1	1913
SMPDL3A	PROTEIN	1	1908
SNAP23	PROTEIN	1	1961
SNAP29	PROTEIN	1	1954
SNCG	PROTEIN	1	1871
SNX9	PROTEIN	1	1912
SOD1	PROTEIN	1	1818
SOD2	PROTEIN	1	1886
SORCS2	PROTEIN	1	1989
SORD	PROTEIN	1	1808
SORT1	PROTEIN	1	1892
SOST	PROTEIN	1	1883
SPARC	PROTEIN	1	1843
SPARCL1	PROTEIN	1	1907
SPINK1	PROTEIN	1	1984
SPINK6	PROTEIN	1	1853
SPINT1	PROTEIN	1	1954
SPINT2	PROTEIN	1	1930
SPOCK1	PROTEIN	1	1863
SPON1	PROTEIN	1	1946
SPON2	PROTEIN	1	1933
SPP1	PROTEIN	1	1819
SPRY2	PROTEIN	1	1957
SRC	PROTEIN	1	1971
SRP14	PROTEIN	1	1887
SSC4D	PROTEIN	1	1854
SSC5D	PROTEIN	1	1881
ST3GAL1	PROTEIN	1	1973
ST6GAL1	PROTEIN	1	1924
STAMBP	PROTEIN	1	1878
STAT5B	PROTEIN	1	1909
STC2	PROTEIN	1	1875
STK11	PROTEIN	1	1877
STX4	PROTEIN	1	1962
STX8	PROTEIN	1	1936
SUGT1	PROTEIN	1	1855
SULT1A1	PROTEIN	1	1942
SULT2A1	PROTEIN	1	1812
SUMF2	PROTEIN	1	1927
SUSD1	PROTEIN	1	1909
SUSD2	PROTEIN	1	1805
TACSTD2	PROTEIN	1	1970
TAFA5	PROTEIN	1	1986
TBC1D5	PROTEIN	1	1993
TBCB	PROTEIN	1	1937
TBCC	PROTEIN	1	1913
TBL1X	PROTEIN	1	1951
TCL1A	PROTEIN	1	1934
TCN2	PROTEIN	1	1909
TDRKH	PROTEIN	1	1970
TEK	PROTEIN	1	1898
TFF1	PROTEIN	1	1918
TFF2	PROTEIN	1	1898
TFF3	PROTEIN	0	1949
TFPI	PROTEIN	1	1875
TFPI2	PROTEIN	1	1879
TFRC	PROTEIN	1	1854
TGFA	PROTEIN	1	1905
TGFB1	PROTEIN	1	1935
TGFBI	PROTEIN	1	1930
TGFBR2	PROTEIN	1	1948
TGFBR3	PROTEIN	1	1937
TGM2	PROTEIN	1	1794
THBD	PROTEIN	1	1933
THBS2	PROTEIN	1	1834
THBS4	PROTEIN	1	1828
THOP1	PROTEIN	1	1827
THPO	PROTEIN	1	1916
THY1	PROTEIN	1	1956
TIE1	PROTEIN	1	1932
TIMD4	PROTEIN	1	1881
TIMP1	PROTEIN	1	1938
TIMP3	PROTEIN	1	1839
TIMP4	PROTEIN	1	1851
TINAGL1	PROTEIN	1	1914
TJAP1	PROTEIN	1	1957
TLR3	PROTEIN	1	1829
TMPRSS15	PROTEIN	1	1954
TMPRSS5	PROTEIN	1	1893
TMSB10	PROTEIN	1	1950
TNC	PROTEIN	1	1877
TNF	PROTEIN	1	1910
TNFRSF10A	PROTEIN	1	1905
TNFRSF10B	PROTEIN	1	1938
TNFRSF10C	PROTEIN	1	1850
TNFRSF11A	PROTEIN	1	1944
TNFRSF11B	PROTEIN	1	1860
TNFRSF12A	PROTEIN	1	1931
TNFRSF13B	PROTEIN	1	1933
TNFRSF14	PROTEIN	1	1933
TNFRSF19	PROTEIN	1	1953
TNFRSF1A	PROTEIN	1	1949
TNFRSF1B	PROTEIN	1	1906
TNFRSF21	PROTEIN	1	1925
TNFRSF4	PROTEIN	1	1898
TNFRSF6B	PROTEIN	1	1874
TNFRSF8	PROTEIN	1	1862
TNFRSF9	PROTEIN	1	1922
TNFSF10	PROTEIN	1	1867
TNFSF11	PROTEIN	1	1891
TNFSF12	PROTEIN	1	1920
TNFSF13	PROTEIN	1	1874
TNFSF13B	PROTEIN	1	1841
TNFSF14	PROTEIN	1	1850
TNR	PROTEIN	1	1922
TNXB	PROTEIN	1	1847
TPMT	PROTEIN	1	1765
TPP1	PROTEIN	1	1880
TPSAB1	PROTEIN	1	1875
TRAF2	PROTEIN	1	1867
TREM2	PROTEIN	1	1899
TREML2	PROTEIN	1	1863
TRIAP1	PROTEIN	1	1971
TRIM21	PROTEIN	1	1819
TXLNA	PROTEIN	1	1960
TXNDC15	PROTEIN	1	1872
TXNRD1	PROTEIN	1	1858
TYMP	PROTEIN	1	1925
TYRO3	PROTEIN	1	1923
UBAC1	PROTEIN	1	1752
ULBP2	PROTEIN	1	1944
UMOD	PROTEIN	1	1802
USP8	PROTEIN	1	1896
UXS1	PROTEIN	1	1947
VAMP5	PROTEIN	1	1956
VASN	PROTEIN	1	1905
VAT1	PROTEIN	1	1856
VCAM1	PROTEIN	1	1868
VCAN	PROTEIN	1	1837
VEGFA	PROTEIN	1	1991
VEGFC	PROTEIN	1	1872
VEGFD	PROTEIN	1	1877
VMO1	PROTEIN	1	1861
VNN2	PROTEIN	1	1860
VPS37A	PROTEIN	1	1951
VSIG4	PROTEIN	1	1948
VSIR	PROTEIN	1	1918
VTA1	PROTEIN	1	1847
VWA1	PROTEIN	1	1842
VWC2	PROTEIN	1	1957
VWF	PROTEIN	1	1936
WARS	PROTEIN	1	1821
WFDC12	PROTEIN	1	1909
WFDC2	PROTEIN	1	1960
WFIKKN1	PROTEIN	1	1942
WFIKKN2	PROTEIN	1	1919
WIF1	PROTEIN	1	1879
WISP1	PROTEIN	1	1934
WISP2	PROTEIN	1	1929
WNT9A	PROTEIN	1	1951
WWP2	PROTEIN	1	1882
XCL1	PROTEIN	1	1889
XG	PROTEIN	1	1934
XPNPEP2	PROTEIN	1	1985
YES1	PROTEIN	1	1958
ZBTB17	PROTEIN	1	1873
S-1-pyrroline-5-carboxylate	METABOLITE	0	1106
spermidine	METABOLITE	0	2067
1-methylnicotinamide	METABOLITE	0	1325
"12,13-DiHOME"	METABOLITE	0	1798
5-hydroxyindoleacetate	METABOLITE	0	2135
alpha-ketoglutarate	METABOLITE	0	1979
kynurenate	METABOLITE	0	2091
3-hydroxyisobutyrate	METABOLITE	0	2125
3-hydroxy-3-methylglutarate	METABOLITE	0	1847
homovanillate (HVA)	METABOLITE	0	2043
3-phosphoglycerate	METABOLITE	0	1746
cholate	METABOLITE	0	2177
4-hydroxyphenylacetate	METABOLITE	0	2038
"5,6-dihydrothymine"	METABOLITE	0	2190
hypoxanthine	METABOLITE	0	2008
"9,10-DiHOME"	METABOLITE	0	1917
linoleate (18:2n6)	METABOLITE	0	2114
laurate (12:0)	METABOLITE	0	2131
quinolinate	METABOLITE	0	2173
"N6,N6,N6-trimethyllysine"	METABOLITE	0	2177
N-acetylputrescine	METABOLITE	0	2050
N-formylmethionine	METABOLITE	0	2223
S-adenosylhomocysteine (SAH)	METABOLITE	0	2224
"adenosine 3',5'-cyclic monophosphate (cAMP)"	METABOLITE	0	2237
adenosine 5'-diphosphate (ADP)	METABOLITE	0	2225
adenosine 5'-monophosphate (AMP)	METABOLITE	0	2208
5-methylthioadenosine (MTA)	METABOLITE	0	2110
N6-methyladenosine	METABOLITE	0	2201
adenosine 5'-diphosphoribose (ADP-ribose)	METABOLITE	0	2257
arachidonate (20:4n6)	METABOLITE	0	2183
arginine	METABOLITE	0	2090
aspartate	METABOLITE	0	1951
2-hydroxyphenylacetate	METABOLITE	0	1262
3-(4-hydroxyphenyl)lactate	METABOLITE	0	2215
phenylpyruvate	METABOLITE	0	1928
beta-alanine	METABOLITE	0	1529
carnosine	METABOLITE	0	2211
biliverdin	METABOLITE	0	2013
succinate	METABOLITE	0	2050
3-hydroxybutyrate (BHBA)	METABOLITE	0	2073
cholesterol	METABOLITE	0	1201
choline phosphate	METABOLITE	0	2025
corticosterone	METABOLITE	0	2163
cortisone	METABOLITE	0	1723
creatinine	METABOLITE	0	2236
cysteinylglycine	METABOLITE	0	1023
cystine	METABOLITE	0	2112
sphingosine	METABOLITE	0	2193
deoxycholate	METABOLITE	0	2193
cystathionine	METABOLITE	0	2177
sphinganine	METABOLITE	0	2142
flavin adenine dinucleotide (FAD)	METABOLITE	0	2138
fumarate	METABOLITE	0	2227
gamma-glutamylglutamate	METABOLITE	0	1826
gluconate	METABOLITE	0	1735
glutarate (C5-DC)	METABOLITE	0	2094
glycine	METABOLITE	0	2037
glycocholate	METABOLITE	0	1422
guanidinoacetate	METABOLITE	0	1959
histidine	METABOLITE	0	1488
cortisol	METABOLITE	0	2093
hypotaurine	METABOLITE	0	2156
inosine	METABOLITE	0	1565
inosine 5'-monophosphate (IMP)	METABOLITE	0	2254
myo-inositol	METABOLITE	0	1117
isoleucine	METABOLITE	0	2212
2-aminoadipate	METABOLITE	0	1856
3-sulfo-L-alanine	METABOLITE	0	1649
citrulline	METABOLITE	0	2153
lactose	METABOLITE	0	1127
leucine	METABOLITE	0	2208
lysine	METABOLITE	0	2151
malate	METABOLITE	0	2211
methionine	METABOLITE	0	1905
palmitate (16:0)	METABOLITE	0	2132
nicotinamide	METABOLITE	0	2015
stearate (18:0)	METABOLITE	0	2153
ornithine	METABOLITE	0	2127
orotate	METABOLITE	0	2142
palmitoleate (16:1n7)	METABOLITE	0	2125
phenylalanine	METABOLITE	0	2075
phosphate	METABOLITE	0	2179
phytanate	METABOLITE	0	2073
pristanate	METABOLITE	0	2145
proline	METABOLITE	0	1980
lactate	METABOLITE	0	1116
pyridoxal	METABOLITE	0	1556
retinol (Vitamin A)	METABOLITE	0	1280
riboflavin (Vitamin B2)	METABOLITE	0	1014
salicylate	METABOLITE	0	1329
serine	METABOLITE	0	1837
serotonin	METABOLITE	0	2215
spermine	METABOLITE	0	2156
taurine	METABOLITE	0	2135
myristate (14:0)	METABOLITE	0	2113
urea	METABOLITE	0	2157
uridine	METABOLITE	0	2051
2'-deoxyuridine	METABOLITE	0	2128
trans-urocanate	METABOLITE	0	1726
glutamate	METABOLITE	0	1674
glutamine	METABOLITE	0	2196
threonine	METABOLITE	0	1567
tryptophan	METABOLITE	0	1850
valine	METABOLITE	0	2065
glucose	METABOLITE	0	1085
alpha-ketobutyrate	METABOLITE	0	1663
adenosine	METABOLITE	0	2232
betaine	METABOLITE	0	2202
cysteine	METABOLITE	0	919
mannose	METABOLITE	0	1042
dimethylglycine	METABOLITE	0	2201
alanine	METABOLITE	0	1849
tyrosine	METABOLITE	0	1888
malonate	METABOLITE	0	2087
pseudouridine	METABOLITE	0	2131
pyruvate	METABOLITE	0	1064
uracil	METABOLITE	0	1895
xylose	METABOLITE	0	1539
cytidine	METABOLITE	0	1232
arabinose	METABOLITE	0	2211
cotinine	METABOLITE	0	2175
caffeine	METABOLITE	0	1017
fructose	METABOLITE	0	1062
adenine	METABOLITE	0	2206
cytosine	METABOLITE	0	1528
caprate (10:0)	METABOLITE	0	2199
margarate (17:0)	METABOLITE	0	2124
nonadecanoate (19:0)	METABOLITE	0	2151
arachidate (20:0)	METABOLITE	0	2204
maltose	METABOLITE	0	1997
asparagine	METABOLITE	0	1758
N-stearoyl-sphinganine (d18:0/18:0)*	METABOLITE	0	1119
dihydroorotate	METABOLITE	0	1916
caproate (6:0)	METABOLITE	0	1899
caprylate (8:0)	METABOLITE	0	2211
sucrose	METABOLITE	0	1994
pentadecanoate (15:0)	METABOLITE	0	2126
trans-4-hydroxyproline	METABOLITE	0	2221
allantoin	METABOLITE	0	2079
xanthine	METABOLITE	0	2095
5-oxoproline	METABOLITE	0	2150
picolinate	METABOLITE	0	2119
sarcosine	METABOLITE	0	2100
pantothenate	METABOLITE	0	2237
pipecolate	METABOLITE	0	1213
phosphoethanolamine	METABOLITE	0	2155
glycerate	METABOLITE	0	1796
3-ureidopropionate	METABOLITE	0	2162
N-acetylleucine	METABOLITE	0	1987
N-acetylmethionine	METABOLITE	0	2200
N-acetylvaline	METABOLITE	0	1388
erucate (22:1n9)	METABOLITE	0	2147
"bilirubin (Z,Z)"	METABOLITE	0	2055
thyroxine	METABOLITE	0	2202
gamma-glutamyltyrosine	METABOLITE	0	1842
methyl indole-3-acetate	METABOLITE	0	1646
alpha-tocopherol	METABOLITE	0	2117
N-acetylalanine	METABOLITE	0	1864
vanillylmandelate (VMA)	METABOLITE	0	2164
4-acetamidobutanoate	METABOLITE	0	2098
3-aminoisobutyrate	METABOLITE	0	2102
chenodeoxycholate	METABOLITE	0	2194
citrate	METABOLITE	0	1628
"5,6-dihydrouracil"	METABOLITE	0	2128
2-aminobutyrate	METABOLITE	0	1859
urate	METABOLITE	0	1214
ursodeoxycholate	METABOLITE	0	2154
oleoyl ethanolamide	METABOLITE	0	2169
gamma-glutamylglutamine	METABOLITE	0	2189
4-hydroxyphenylpyruvate	METABOLITE	0	1625
butyrate/isobutyrate (4:0)	METABOLITE	0	1205
N-acetylneuraminate	METABOLITE	0	2111
N-acetylglucosaminylasparagine	METABOLITE	0	1396
acetoacetate	METABOLITE	0	2131
creatine	METABOLITE	0	1160
"cys-gly, oxidized"	METABOLITE	0	2136
"2,3-diphosphoglycerate"	METABOLITE	0	1214
estrone 3-sulfate	METABOLITE	0	1120
dihomo-linoleate (20:2n6)	METABOLITE	0	2134
gamma-glutamylhistidine	METABOLITE	0	1131
2-hydroxystearate	METABOLITE	0	1901
N1-methyladenosine	METABOLITE	0	2129
glycerol	METABOLITE	0	2130
choline	METABOLITE	0	2202
anthranilate	METABOLITE	0	2084
gamma-glutamylleucine	METABOLITE	0	2117
3-methoxytyrosine	METABOLITE	0	1975
fluoxetine	METABOLITE	0	2255
4-acetamidophenol	METABOLITE	0	2051
naproxen	METABOLITE	0	2255
indomethacin	METABOLITE	0	2255
beta-hydroxyisovalerate	METABOLITE	0	2167
ibuprofen	METABOLITE	0	2255
palmitoyl ethanolamide	METABOLITE	0	2136
N-linoleoylglycine	METABOLITE	0	2179
N-palmitoyl-sphingosine (d18:1/16:0)	METABOLITE	0	1558
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	METABOLITE	0	947
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	METABOLITE	0	1016
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	METABOLITE	0	1085
stearoyl sphingomyelin (d18:1/18:0)	METABOLITE	0	1061
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	METABOLITE	0	1071
N-stearoyl-sphingosine (d18:1/18:0)*	METABOLITE	0	1122
glycochenodeoxycholate	METABOLITE	0	1969
taurochenodeoxycholate	METABOLITE	0	2086
taurocholate	METABOLITE	0	1717
taurodeoxycholate	METABOLITE	0	2099
2-hydroxyhippurate (salicylurate)	METABOLITE	0	1474
metoprolol	METABOLITE	0	2253
azelate (C9-DC)	METABOLITE	0	1572
3-(N-acetyl-L-cystein-S-yl) acetaminophen	METABOLITE	0	2061
4-acetaminophen sulfate	METABOLITE	0	1342
eicosapentaenoate (EPA; 20:5n3)	METABOLITE	0	1865
methylsuccinate	METABOLITE	0	1330
ethylmalonate	METABOLITE	0	1124
carnitine	METABOLITE	0	1971
benzoate	METABOLITE	0	1247
3-phenylpropionate (hydrocinnamate)	METABOLITE	0	1745
phenylacetate	METABOLITE	0	2048
hippurate	METABOLITE	0	2126
xanthurenate	METABOLITE	0	1732
suberate (C8-DC)	METABOLITE	0	1099
3-methyl-2-oxovalerate	METABOLITE	0	2152
methionine sulfoxide	METABOLITE	0	1131
3-methylhistidine	METABOLITE	0	2126
4-acetamidophenylglucuronide	METABOLITE	0	1336
5-hydroxylysine	METABOLITE	0	2137
4-guanidinobutanoate	METABOLITE	0	1558
alpha-lipoate	METABOLITE	0	2254
glucuronate	METABOLITE	0	1216
glycerol 3-phosphate	METABOLITE	0	1200
imidazole lactate	METABOLITE	0	2042
kynurenine	METABOLITE	0	2180
glycerophosphorylcholine (GPC)	METABOLITE	0	2143
maltotetraose	METABOLITE	0	2237
maltotriose	METABOLITE	0	2018
N-acetylglutamate	METABOLITE	0	2112
N-alpha-acetylornithine	METABOLITE	0	2194
tartarate	METABOLITE	0	1066
xanthosine	METABOLITE	0	2225
ribitol	METABOLITE	0	1191
2-isopropylmalate	METABOLITE	0	1806
glycodeoxycholate	METABOLITE	0	1301
theophylline	METABOLITE	0	1064
quinate	METABOLITE	0	1516
theobromine	METABOLITE	0	1096
gentisate	METABOLITE	0	1151
paraxanthine	METABOLITE	0	1084
indolelactate	METABOLITE	0	2037
3-indoxyl sulfate	METABOLITE	0	2003
gamma-glutamylphenylalanine	METABOLITE	0	2124
4-methyl-2-oxopentanoate	METABOLITE	0	2038
"1,5-anhydroglucitol (1,5-AG)"	METABOLITE	0	2174
2-arachidonoylglycerol (20:4)	METABOLITE	0	2206
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	METABOLITE	0	1458
sphingosine 1-phosphate	METABOLITE	0	2010
1-oleoyl-GPS (18:1)	METABOLITE	0	2245
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	METABOLITE	0	2198
1-stearoyl-GPI (18:0)	METABOLITE	0	1867
"1,2-dipalmitoyl-GPC (16:0/16:0)"	METABOLITE	0	2185
docosahexaenoate (DHA; 22:6n3)	METABOLITE	0	2105
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	METABOLITE	0	1026
ofloxacin	METABOLITE	0	2255
alpha-hydroxyisocaproate	METABOLITE	0	2175
maleate	METABOLITE	0	1050
isovalerate (i5:0)	METABOLITE	0	1428
4-acetylphenol sulfate	METABOLITE	0	1060
1-methylguanidine	METABOLITE	0	2186
2-hydroxyoctanoate	METABOLITE	0	2158
levulinate (4-oxovalerate)	METABOLITE	0	1950
3-hydroxyoctanoate	METABOLITE	0	2207
phenyllactate (PLA)	METABOLITE	0	2142
palmitoylcarnitine (C16)	METABOLITE	0	1147
valproate	METABOLITE	0	2255
hexanoylcarnitine (C6)	METABOLITE	0	1904
theanine	METABOLITE	0	984
N-acetylaspartate (NAA)	METABOLITE	0	2219
dehydroepiandrosterone sulfate (DHEA-S)	METABOLITE	0	1523
acetylcarnitine (C2)	METABOLITE	0	2122
cysteine s-sulfate	METABOLITE	0	1258
1-palmitoylglycerol (16:0)	METABOLITE	0	2198
tartronate (hydroxymalonate)	METABOLITE	0	1044
oxalate (ethanedioate)	METABOLITE	0	1449
erythritol	METABOLITE	0	1278
"2,3-dihydroxypyridine"	METABOLITE	0	1855
saccharin	METABOLITE	0	1511
3-hydroxymyristate	METABOLITE	0	2129
iminodiacetate (IDA)	METABOLITE	0	1094
1-oleoylglycerol (18:1)	METABOLITE	0	1388
3-methyl-2-oxobutyrate	METABOLITE	0	1921
2-oleoylglycerol (18:1)	METABOLITE	0	1944
homoarginine	METABOLITE	0	1897
homocitrulline	METABOLITE	0	2127
2-linoleoylglycerol (18:2)	METABOLITE	0	1803
3-hydroxydecanoate	METABOLITE	0	2162
citramalate	METABOLITE	0	1922
EDTA	METABOLITE	0	1737
N-acetylglycine	METABOLITE	0	2055
ribonate	METABOLITE	0	2205
threonate	METABOLITE	0	1847
galactonate	METABOLITE	0	2153
beta-sitosterol	METABOLITE	0	1772
indoleacetate	METABOLITE	0	1524
1-linoleoylglycerol (18:2)	METABOLITE	0	1208
1-methylhistidine	METABOLITE	0	2232
butyrylcarnitine (C4)	METABOLITE	0	1178
isobutyrylcarnitine (C4)	METABOLITE	0	2186
7-ketodeoxycholate	METABOLITE	0	2099
glycolithocholate	METABOLITE	0	1054
androsterone sulfate	METABOLITE	0	1747
2-pyrrolidinone	METABOLITE	0	1894
indolepropionate	METABOLITE	0	2135
N-(2-furoyl)glycine	METABOLITE	0	1773
trigonelline (N'-methylnicotinate)	METABOLITE	0	1912
dodecanedioate (C12-DC)	METABOLITE	0	2142
"glutamate, gamma-methyl ester"	METABOLITE	0	2010
N-acetyltyrosine	METABOLITE	0	2191
"1,3-dimethylurate"	METABOLITE	0	1144
3-methylxanthine	METABOLITE	0	1118
3-hydroxylaurate	METABOLITE	0	2103
pyridoxate	METABOLITE	0	1601
gamma-glutamylvaline	METABOLITE	0	2043
3-hydroxysebacate	METABOLITE	0	2028
5-hydroxyhexanoate	METABOLITE	0	2068
3-methylcrotonylglycine	METABOLITE	0	2155
propionylglycine	METABOLITE	0	2069
butyrylglycine	METABOLITE	0	2079
propionylcarnitine (C3)	METABOLITE	0	1493
pro-hydroxy-pro	METABOLITE	0	2019
3-hydroxy-2-ethylpropionate	METABOLITE	0	2031
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	METABOLITE	0	1805
docosapentaenoate (n3 DPA; 22:5n3)	METABOLITE	0	2160
docosadienoate (22:2n6)	METABOLITE	0	2136
adrenate (22:4n6)	METABOLITE	0	2157
docosatrienoate (22:3n3)	METABOLITE	0	1488
10-undecenoate (11:1n1)	METABOLITE	0	2018
myristoleate (14:1n5)	METABOLITE	0	2102
